Uniq_id,SKU,Name,Description,Price,Av_Score
76dd97af00d0f7a2876771e9312b6db6,pp5005710040,Azul by Maxine of Hollywood Solid Hipster Swim Bottoms,"Make the most of your swim wardrobe with our versatile solid-color hipster bottoms that will coordinate with almost any swim top. nylon/LYCRA® spandex hand wash, line dry imported ",55.6,3.25
bedfb79e102d86559353d42ab8733c01,pp5005710040,Azul by Maxine of Hollywood Solid Hipster Swim Bottoms,"Make the most of your swim wardrobe with our versatile solid-color hipster bottoms that will coordinate with almost any swim top. nylon/LYCRA® spandex hand wash, line dry imported ",55.6,3
228e5c25e0eda6693ac8bf220af0ec16,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,,,3
25c9659a5b2f162ce345da75c034bcce,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,,,2.125
0bda51a25371200b67976de0d32bc558,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,,,2.875
8ef63d37b105184c431aeb7a5abdd61b,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,,,3.875
89d2894a56e35275f217a4499072a31a,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top - Plus,"Get ready to take a dip or enjoy some time in the sun with our bandeau blouson tankini swim top, designed with bold stripes to coordinate with your favorite solid bottoms.  adjustable straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",62.85,1
613a9e7635c7fa1bac23dd91f07e103f,pp5005740108,Azul by Maxine of Hollywood Tankini Swim Top or Skirted Bottoms,,,3.666666667
9ad448cd4c44412a6998dcd168aec826,pp5005740108,Azul by Maxine of Hollywood Tankini Swim Top or Skirted Bottoms,,,5
b5906363d3e89e99ee88172b0cfe182d,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Boardshorts - Plus,,,2.25
062ab2af65b02f59f96b79f9cd359f36,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Boardshorts - Plus,,,3.25
ac9d98ab87378d3b1a25f694dcd03107,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Hipster Bottoms - Plus,,,2.5
d1139bcf9e21090f71d259b597a0da2b,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Hipster Bottoms - Plus,,,3.125
e02d613c45a64599b9eb958af21943da,pp5006830283,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress - Plus,"Feminine and fun, this faux-skirtini swimdress will suit your style to a tee. tank straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",116.03,3
7ca74b9d3ed97595a8f6451737094529,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,"Feminine and fun, this faux-skirtini swimdress will suit your style to a tee. tank straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",103.94,3.375
1c702121fc0fcdb4a1fff5c533c1dcf1,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,"Feminine and fun, this faux-skirtini swimdress will suit your style to a tee. tank straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",103.94,3.375
09faaf6ed722ff95e50088aebfcae8f3,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,"Feminine and fun, this faux-skirtini swimdress will suit your style to a tee. tank straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",103.94,3.5
418b09dd3c4345df2fdc0953273e86a6,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,"Feminine and fun, this faux-skirtini swimdress will suit your style to a tee. tank straps built-in soft cups partially lined nylon/elastane hand wash, line dry imported",103.94,3.625
