category,sentiment,count
flirtitude,Positive,3
food storage,Negative,5
food storage,Neutral,2
food storage,Positive,5
footwear,Negative,1
footwear,Positive,1
for baby,Negative,2
for baby,Neutral,1
for baby,Positive,5
for juniors,Negative,7
for juniors,Neutral,3
for juniors,Positive,6
for kids,Negative,2
for kids,Neutral,1
for kids,Positive,5
for men,Negative,31
for men,Neutral,20
for men,Positive,43
for the bride,Negative,4
for the bride,Positive,1
for the home,Negative,9
for the home,Neutral,5
for the home,Positive,7
for women,Negative,39
for women,Neutral,26
for women,Positive,55
formal table setting,Negative,1
foundation,Negative,3
foundation,Neutral,1
foundation,Positive,4
fourth of july,Negative,1
fourth of july,Positive,1
free country,Negative,2
free country,Neutral,2
freezers & ice makers,Negative,4
freezers & ice makers,Neutral,2
freezers & ice makers,Positive,3
french country,Negative,2
french country,Neutral,2
french toast,Negative,10
french toast,Neutral,8
french toast,Positive,19
full figure bras,Negative,36
full figure bras,Neutral,23
full figure bras,Positive,48
full figure minimizer bras,Negative,2
full figure minimizer bras,Neutral,2
full figure minimizer bras,Positive,3
full figure racerback bras,Negative,2
full figure racerback bras,Neutral,1
full figure racerback bras,Positive,2
full figure sports bras,Negative,6
full figure sports bras,Neutral,4
full figure sports bras,Positive,3
full figure strapless & convertible bras,Negative,1
full figure strapless & convertible bras,Neutral,2
full figure strapless & convertible bras,Positive,5
full figure t-shirt bras,Negative,4
full figure t-shirt bras,Positive,4
full figure underwire bras,Negative,14
full figure underwire bras,Neutral,5
full figure underwire bras,Positive,13
full figure wireless bras,Negative,15
full figure wireless bras,Neutral,10
